S. No.,College Name,College Type,State Name
20557,"GOUTAMI DEGREE COLLEGE, BHONGIR (Id: C-33283)",Affiliated College,Telangana
20558,"GOUTAMI DEGREE COLLEGE, SURYAPET (Id: C-33129)",Affiliated College,Telangana
20559,"GOUTMI DEGREE COLLEGE, SURYPET (Id: C-33258)",Affiliated College,Telangana
20560,"GOVERNMENT DEGREE COLLEGE, ALIR (Id: C-33164)",Affiliated College,Telangana
20561,"GOVERNMENT DEGREE COLLEGE, CHANDUR (Id: C-33196)",Affiliated College,Telangana
20562,"GOVERNMENT DEGREE COLLEGE FOR WOMEN, NALGONDA (Id: C-33259)",Affiliated College,Telangana
20563,"GOVERNMENT DEGREE COLLEGE, NAKREKAL (Id: C-33211)",Affiliated College,Telangana
20564,"GOVERNMENT DEGREE COLLEGE, RAMMANNAPET (Id: C-33221)",Affiliated College,Telangana
20565,"GOVT. COLLEGE OF TEACHER EDUCAITON, NAGARJUNASAGAR (Id: C-33256)",Affiliated College,Telangana
20566,"GOVT. DEGREE COLLEGE FOR WOMEN, NALGONDA (Id: C-33155)",Affiliated College,Telangana
20567,"GOVT. DEGREE COLLGE, NAKREKAL (Id: C-33238)",Affiliated College,Telangana
20568,"HOLYCROSS COLLEGE OF EDUCAITION, SURYAPET (Id: C-33210)",Affiliated College,Telangana
20569,"HRD COLLEGE FOR TEACHER EDUCATION, DEVARAKONDA (Id: C-33143)",Affiliated College,Telangana
20570,"HRD DEGREE COLLEGE, DEVARAKONDA (Id: C-33119)",Affiliated College,Telangana
20571,"HRD DEGREE & PG COLLEGE, DEVARAKONDA (Id: C-33218)",Affiliated College,Telangana
20572,"JAGRUTHI DEGREE COLLEGE, BHONGIR (Id: C-33206)",Affiliated College,Telangana
20573,"JAGRUTHI PG COLLEGE, BHONGIR (Id: C-33269)",Affiliated College,Telangana
20574,"JBM DEGREE COLLEGE, NARAYANPUR (Id: C-33270)",Affiliated College,Telangana
20575,"KAKATIYA DEGREE COLLEGE, NALGONDA (Id: C-33161)",Affiliated College,Telangana
20576,KAKATIYA PG COLLEGE NALGONDA (Id: C-33121),Affiliated College,Telangana
20577,"KAVITHA MEMORIAL COLLEGE OF TEACHER EDUCAITON, DEVARAKONDA (Id: C-33130)",Affiliated College,Telangana
20578,"KHADAR MEMORIAL COLLEGE OF TEACHER EDUCAITON, MIRYALAGUDA (Id: C-33286)",Affiliated College,Telangana
20579,"KHATIZA KUTHUN COLLEGE OF EDUCAITON, NIDMANOOR (Id: C-33257)",Affiliated College,Telangana
20580,"KNM GOVT. DEGREE COLLEGE, MIRYALGUDA (Id: C-33295)",Affiliated College,Telangana
20581,"KODAD INSTITUTE OF INFORMATICS FOR WOMEN, KODAD (Id: C-33281)",Affiliated College,Telangana
20582,"KODAD INSTITUTE OF INFORMATICS FOR WOMEN(MCA), KODAD (Id: C-33135)",Affiliated College,Telangana
20583,"KRR GOVT. DEGREE COLLEGE, KODAD (Id: C-33160)",Affiliated College,Telangana
20584,"MA BEIG COLLEGE OF EDUCAITON, NALGONDA (Id: C-33128)",Affiliated College,Telangana
20585,"MADAVA INSTITUE OF ADVANCED STUDY IN EDUCAION, BHONGIR (Id: C-33266)",Affiliated College,Telangana
20586,"MADHIRA INSTITUTE OF TECHNOLOGY & SCIENCE, KODAD (Id: C-33243)",Affiliated College,Telangana
20587,"MADHIRA INSTITUTE OF TECHNOLOGY & SCIENCE(MCA), KODAD (Id: C-33108)",Affiliated College,Telangana
20588,"MADINA COLLEGE OF EDUCAITON, HUZURNAGAR (Id: C-33272)",Affiliated College,Telangana
20589,"MAHARSHI DEGREE COLLEGE, SURYAPET (Id: C-33276)",Affiliated College,Telangana
20590,"MAITRI DEGREE COLLEGE, NALGONDA (Id: C-33277)",Affiliated College,Telangana
20591,"MARRIGUDA DEGREE COLLEGE, MARRIGUDA (Id: C-33190)",Affiliated College,Telangana
20592,"MATRUSHRI DEGREE COLLEGE, CHOUTUPPAL (Id: C-33151)",Affiliated College,Telangana
20593,"MC MEMORIAL DEGREE COLLEGE, HALIA (Id: C-33142)",Affiliated College,Telangana
20594,"MJR COLLEGE OF EDUCAITON, MIRYALAGUDA (Id: C-33214)",Affiliated College,Telangana
20595,"MKR GOVT COLLEGE, DEVARAKONDA (Id: C-33285)",Affiliated College,Telangana
20596,"MKR GOVT. DEGREE COLLEGE, DEVARAKONDA (Id: C-33183)",Affiliated College,Telangana
20597,"MKR MEMORIAL DEGREE COLLEGE, POCHAMPALLY (Id: C-33116)",Affiliated College,Telangana
20598,MOHAMMADEN'S COLLEGE OF DEVARAKONDA (Id: C-33271),Affiliated College,Telangana
20599,MOTHER MARY COLLGE OF EDUCAITON CHARLAPALLY (Id: C-33113),Affiliated College,Telangana
20600,"MOTHER TERESA COLLEGE OF EDUCAIOTN, SURYAPET (Id: C-33125)",Affiliated College,Telangana
20601,"MOTHER TERESA COLLEGE OF EDUCAITON, ANANTARAM (Id: C-33111)",Affiliated College,Telangana
20602,"MRR MEMORIAL DEGREE COLLEGE, KODAD (Id: C-33110)",Affiliated College,Telangana
20603,"MSR COLLEGE OF EDUCAITON, SURYAPET (Id: C-33201)",Affiliated College,Telangana
20604,"NAGARJUNA COLLEGE OF EDUCAITON, MIRYALAGUDA (Id: C-33279)",Affiliated College,Telangana
20605,"NAGARJUNA GOVT. COLLEGE, NALGONDA (Id: C-33207)",Affiliated College,Telangana
20606,"NAGARJUNA PG COLLEGE(MCA), MIRYALAGUDA (Id: C-33280)",Affiliated College,Telangana
20607,"NAGARJUNA PG COLLEGE, MIRYALAGUDA (Id: C-33141)",Affiliated College,Telangana
20608,"NALANDA COLLEGE OF ARTS & COMMERCE, CHOUTUPPAL (Id: C-33189)",Affiliated College,Telangana
20609,"NALANDA DEGREE COLLEGE, MIRYALAGUDA (Id: C-33149)",Affiliated College,Telangana
20610,"NALANDA DEGREE COLLEGE, NALGONDA (Id: C-33195)",Affiliated College,Telangana
20611,"NALANDA MCA COLLEGE, SURYAPET (Id: C-33219)",Affiliated College,Telangana
20612,"NALGONDA DEGREE COLLEGE, NALGONDA (Id: C-33203)",Affiliated College,Telangana
20613,"NARKETPALLY COLLEGE OF EDUCAITON, CHARLAPALLY (Id: C-33294)",Affiliated College,Telangana
20614,"NEELAGIRI DEGREE COLLEGE, NALGONDA (Id: C-33170)",Affiliated College,Telangana
20615,"NEELAGIRI DEGREE & PG COLLEGE, NALGONDA (Id: C-33132)",Affiliated College,Telangana
20616,"NEW ARABINDO DEGREE COLLEGE, NEREDCHERLA (Id: C-33184)",Affiliated College,Telangana
20617,"NIZAM INSTITUTE OF ENGINEERING & TECHNOLOGY, DESHMUKHI (Id: C-33245)",Affiliated College,Telangana
20618,"PADALA DEGREE COLLEGE, THURKAPALLY (Id: C-33225)",Affiliated College,Telangana
20619,"PRAGATHI ARTS&SCIENCE DEGREE COLLEGE, TIRUMALGIRI (Id: C-33244)",Affiliated College,Telangana
20620,"PRAGATHI DEGREE COLLEGE, CHOUTUPPAL (Id: C-33233)",Affiliated College,Telangana
20621,"PRAGATHI DEGREE COLLEGE, VALIGONDA (Id: C-33159)",Affiliated College,Telangana
20622,"PRIYADARSHANI DEGREE COLLEGE, HUZURNAGAR (Id: C-33193)",Affiliated College,Telangana
20623,"PRIYADARSHANI DEGREE COLLEGE, SURYAPET (Id: C-33290)",Affiliated College,Telangana
20624,"PRIYADARSHINI PG COLLEGE, HUZURNAGAR (Id: C-33284)",Affiliated College,Telangana
20625,"PVRR MEMORIAL COLLEGE OF EDUCATION, YELLAREDDYGUDEM (Id: C-33186)",Affiliated College,Telangana
20626,"RAJARAM MEMORIAL DEGREE COLLEGE, SURYAPET (Id: C-33230)",Affiliated College,Telangana
20627,"RAMAKRISHNA DEGREE COLLEGE, HALIA (Id: C-33174)",Affiliated College,Telangana
20628,"RKLK COLLEGE OF EDUCAITON, SURYAPET (Id: C-33274)",Affiliated College,Telangana
20629,"RKLK DEGREE COLLEGE, SURYAPET (Id: C-33168)",Affiliated College,Telangana
20630,RKLK PG COLLEGE SURYAPET (Id: C-33224),Affiliated College,Telangana
20631,"RKLK WOMENS DEGREE COLLEGE, SURYAPET (Id: C-33139)",Affiliated College,Telangana
20632,"SAHITHI COLLEGE OF EDUCAITION, TIRUMALAGIRI (Id: C-33236)",Affiliated College,Telangana
20633,SAI COLLEGE OF LIBRARY SCIENCE SURYAPET (Id: C-33180),Affiliated College,Telangana
20634,"SAIKRUPA DEGREE COLLEGE, BHONGIR (Id: C-33171)",Affiliated College,Telangana
20635,SAI KRUPA DEGREE & PG COLLEGE BHONGIR (Id: C-33144),Affiliated College,Telangana
20636,"SAIRAM DEGREE COLLEGE, MOTKUR (Id: C-33115)",Affiliated College,Telangana
20637,"SAI VIKAS PG COLLEGE, KODAD (Id: C-33153)",Affiliated College,Telangana
20638,"SANA COLLEGE OF BUSINESS MANAGEMENT, KODAD (Id: C-33182)",Affiliated College,Telangana
20639,"SANA COLLEGE OF TEACHER EDUCAITON, KODAD (Id: C-33136)",Affiliated College,Telangana
20640,"SANJEEVANI COLLEGE OF EDUCAITON, KONDAMALLEPALLY (Id: C-33138)",Affiliated College,Telangana
20641,"SHALIVAHANA DEGREE COLLEGE, KONDAMALLEPALLY (Id: C-33246)",Affiliated College,Telangana
20642,"SHANTHINIKETHAN PG COLLEGE(MCA), MIRYALAGUDA (Id: C-33205)",Affiliated College,Telangana
20643,"SHANTHINIKETHAN PG COLLEGE, MIRYALAGUDA (Id: C-33191)",Affiliated College,Telangana
20644,"SHANTINIKETAN DEGREE COLLEGE, MIRYALAGUDA (Id: C-33213)",Affiliated College,Telangana
20645,"SHANTINIKETHAN COLLEGE OF EDUCAIOTION, MIRYALAGUDA (Id: C-33278)",Affiliated College,Telangana
20646,"SHANTINIKETHAN PG COLLEGE, MIRYALAGUDA (Id: C-33200)",Affiliated College,Telangana
20647,"SIDDHARTHA DEGREE COLLEGE, SURYAPET (Id: C-33212)",Affiliated College,Telangana
20648,"SIDDU COLLEGE OF EDUCAION, HUZURNAGAR (Id: C-33109)",Affiliated College,Telangana
20649,SIDHARTHA PG COLLEGE SURYAPET (Id: C-33163),Affiliated College,Telangana
20650,SLNS COLLEGE BHONGIR (Id: C-33215),Affiliated College,Telangana
20651,"SLNS DEGREE COLLEGE, ALAIR (Id: C-33265)",Affiliated College,Telangana
20652,"S.L.N.S. SANSKRIT VIDYAPEETH, YADAGIRIGUTTA (Id: C-33157)",Affiliated College,Telangana
20653,"SOGHRA COLLEGE OF TEACHER EDUCAITON, KONDA BHEEMANAPALLY (Id: C-33188)",Affiliated College,Telangana
20654,"SPANDANA DEGREE COLLEGE, SURYAPET (Id: C-33167)",Affiliated College,Telangana
20655,SPANDANA PG COLLEGE SURYAPET (Id: C-33268),Affiliated College,Telangana
20656,"SRI CHAITANYA DEGREE COLLEGE, CHITYAL (Id: C-33237)",Affiliated College,Telangana
20657,"SRI CHAITANYA DEGREE COLLEGE, MAAL (Id: C-33131)",Affiliated College,Telangana
20658,"SRI CHAITANYA DEGREE COLLEGE, NALGONDA (Id: C-33175)",Affiliated College,Telangana
20659,"SRI HINDU DEGREE COLLEGE, RAMANNAPET (Id: C-33137)",Affiliated College,Telangana
20660,"SRI KRISHNADEVARAYA COLLEGE OF EDUCATION, NALGONDA (Id: C-33178)",Affiliated College,Telangana
20661,"SRI LAXMI NARASIMHA SWAMY DEGREE COLLEGE, BHONGIR (Id: C-33133)",Affiliated College,Telangana
20662,"SRI MALLIKARJUNA DEGREE COLLEGE, NAKREKAL (Id: C-33260)",Affiliated College,Telangana
20663,"SRINAGARJUNA DEGREE COLLEGE, MIRLAYAGUDA (Id: C-33199)",Affiliated College,Telangana
20664,"SRI NAGARJUNA DEGREE COLLEGE, MIRYALAGUDA (Id: C-33120)",Affiliated College,Telangana
20665,"SRI NAVABHARAT DEGREE COLLEGE, BHONGIR (Id: C-33208)",Affiliated College,Telangana
20666,SRI NAVABHARAT DEGREE & PG COLLEGE BHONGIR (Id: C-33267),Affiliated College,Telangana
20667,SRINIDHI DEGREE COLLEGE CHILKUR (Id: C-33241),Affiliated College,Telangana
20668,"SRI POOJITHA DEGREE COLLEGE, SURYAPET (Id: C-33147)",Affiliated College,Telangana
20669,"SRI RAGHAVENDRA COLLEGE OF EDUCATION, NALGONDA (Id: C-33187)",Affiliated College,Telangana
20670,"SRI RAGHAVENDRA DEGREE COLLEGE, NALGONDA (Id: C-33296)",Affiliated College,Telangana
20671,SRI RAMALINGESHWARA DEGREE COLLEGE NARKETPALLY (Id: C-33158),Affiliated College,Telangana
20672,"SRI SAI DEGREE COLLEGE (CO-EDUCATION), THIRUMALAGIRI (Id: C-33185)",Affiliated College,Telangana
20673,"SRI SAI DEGREE COLLEGE, SURYAPET (Id: C-33152)",Affiliated College,Telangana
20674,SRI SAI PG COLLEGE SURYAPET (Id: C-33148),Affiliated College,Telangana
20675,"SRI SAI TRIVENI DEGREE COLLEGE, SURYAPET (Id: C-33197)",Affiliated College,Telangana
20676,SRI SAI TRIVENI PG COLLEGE SURYAPET (Id: C-33122),Affiliated College,Telangana
20677,"SRI SAI VIKAS DEGREE COLLEGE, KODAD (Id: C-33202)",Affiliated College,Telangana
20678,"SRI SANTOSH DEGREE COLLEGE, MOTKUR (Id: C-33239)",Affiliated College,Telangana
20679,"SRI SARASWATHI DEGREE COLLEGE, RAJAPET (Id: C-33248)",Affiliated College,Telangana
20680,"SRI SATYASAI DEGREE OCLLEGE, DEVARAKONDA (Id: C-33250)",Affiliated College,Telangana
20681,"SRI SNEHA DEGREE COLLEGE, BHONGIR (Id: C-33162)",Affiliated College,Telangana
20682,SRI VASAVI DEGREE COLLEGE NAGARJUNA SAGAR (Id: C-33216),Affiliated College,Telangana
20683,"SRI VENKATESHWARA COLLEGE OF EDUCATION, NALGONDA (Id: C-33227)",Affiliated College,Telangana
20684,"SRIVENKATESHWARA DEGREE COLLEGE, KONDAMALLEPALLY (Id: C-33264)",Affiliated College,Telangana
20685,"SRI VENKATESHWARA DEGREE COLLEGE, SURYAPET (Id: C-33231)",Affiliated College,Telangana
20686,"SRI VENKATESHWARA DEGREE & PG COLLEGE, KODAD (Id: C-33228)",Affiliated College,Telangana
20687,"SRI VIDYABHARATHI PG COLLEGE, MAMILLAGUDA (Id: C-33293)",Affiliated College,Telangana
20688,"SRI VIDYABHARATI DEGREE COLLEGE, NALGONDA (Id: C-33242)",Affiliated College,Telangana
20689,"SRI VINAYAKA DEGREE COLLEGE, SURYAPETA (Id: C-33226)",Affiliated College,Telangana
20690,"SRUJANA DEGREE COLLEGE, HALIA (Id: C-33253)",Affiliated College,Telangana
20691,"SSR COLLEGE OF EDUCAITON, NALGONDA (Id: C-33217)",Affiliated College,Telangana
20692,"STANFORD COLLEGE OF EDUCATION, HANUMAPUR (Id: C-33252)",Affiliated College,Telangana
20693,"STANFORD PG COLLEGE, BHONGIR (Id: C-33234)",Affiliated College,Telangana
20694,"STANFORD WOMENS DEGREE COLLEGE, BHONGIR (Id: C-33229)",Affiliated College,Telangana
20695,"ST. FRANCIS COLLEGE OF EDUCATION, SURYAPET (Id: C-33140)",Affiliated College,Telangana
20696,"ST. GEORGE'S INSTITUTE OF BUSINESS ADMINISTRATION, BHONGIR (Id: C-33176)",Affiliated College,Telangana
20697,"ST. MARRY'S PG COLLEGE OF COMPUTER SCIENCE, DESHMUKHI (Id: C-33232)",Affiliated College,Telangana
20698,"ST. MARY'S COLLEGE OF EDUCATION, DESHMUKHI (Id: C-33112)",Affiliated College,Telangana
20699,"ST. MARY'S PG COLLEGE OF MANAGEMENT STUDIES, DESHMUKHI (Id: C-33172)",Affiliated College,Telangana
20700,"ST.MARY'S PG COLLEGE OF MANAGEMENT STUDIES, DESHMUKHI (Id: C-33134)",Affiliated College,Telangana
20701,"SUGUNA DEGREE COLLEGE, KODAD (Id: C-33249)",Affiliated College,Telangana
20702,"TRIVENI ARTS & SCIENCE DEGREE COLLEGE, KODAD (Id: C-33117)",Affiliated College,Telangana
20703,"UJWALA DEGREE COLLEGE, VALIGONDA (Id: C-33124)",Affiliated College,Telangana
20704,"UNIVERISYT COLLEGE OF ARTS & SOCIAL SCIENCE, NALGONDA (Id: C-33145)",Affiliated College,Telangana
20705,"UNIVERSAL COLLEGE OF EDUCATION, KODAD (Id: C-33254)",Affiliated College,Telangana
20706,"UNIVERSITY COLLEGE OF COMMERCE & BUSINESS MANAGEMENT, NALGONDA (Id: C-33127)",Affiliated College,Telangana
20707,"UNIVERSITY COLLEGE OF SCIENCE & INFORMATICS, NALGONDA (Id: C-33289)",Affiliated College,Telangana
20708,"UNIVERSITY COLLEGE OF SCIENCE & INFORMATICS, YELLAREDDYAGUDA (Id: C-33251)",Affiliated College,Telangana
20709,VASAVI DEGREE COLLEGE NAKREKAL (Id: C-33118),Affiliated College,Telangana
20710,"VASTHSALYA COLLEGE OF BUSINESS MANAGEMENT, BHONGIR (Id: C-33235)",Affiliated College,Telangana
20711,"VASTHSALYA COLLEGE OF BUSINESS MANAGEMENT(MCA), BHONGIR (Id: C-33275)",Affiliated College,Telangana
20712,"VATHSALYA COLLEGE OF EDUCATION, BHONGIR (Id: C-33291)",Affiliated College,Telangana
20713,VENKATESHWARA PG COLLEGE SURYAPET (Id: C-33255),Affiliated College,Telangana
20714,"VENNELA INSTITUTE ADVANCED STUDY IN EDUCATION, SURYAPET (Id: C-33123)",Affiliated College,Telangana
20715,"VENNELA INSTITUTE OF BUSINESS ADMINISTRATION, ANNANTHARAM (Id: C-33282)",Affiliated College,Telangana
20716,"VIJETHA DEGREE COLLEGE, MIRYALAGUDA (Id: C-33247)",Affiliated College,Telangana
20717,VIJETHA DEGREE MIRYALAGUDA (Id: C-33261),Affiliated College,Telangana
20718,"VIKAS CHRISTIAN COLLEGE OF EDUCATION, SURYAPET (Id: C-33165)",Affiliated College,Telangana
20719,"MAHATMA GANDHI DENTAL COLLEGE AND HOSPITAL, JAIPUR (Id: C-49501)",Constituent / University College,Rajasthan
20720,"MAHATMA GANDHI MEDICAL COLLEGE AND HOSPITAL, JAIPUR (Id: C-49500)",Constituent / University College,Rajasthan
20721,"MAHATMA GANDHI NURSING COLLEGE, JAIPUR (Id: C-49502)",Constituent / University College,Rajasthan
20722,"MAHATMA GANDHI NURSING SCHOOL, JAIPUR (Id: C-49504)",Constituent / University College,Rajasthan
20723,"MAHATMA GANDHI PHYSIOTHERAPY COLLEGE, JAIPUR (Id: C-49503)",Constituent / University College,Rajasthan
20724,"College of Agriculture, Dhule (Id: C-44573)",Constituent / University College,Maharashtra
20725,"College of Agriculture, Kolhapur (Id: C-44569)",Constituent / University College,Maharashtra
20726,"College Of Agriculture, Shivajinagar, Pune (Id: C-44571)",Constituent / University College,Maharashtra
20727,"Dr. Annasaheb Shinde College of Agriculture Eng., Rahuri (Id: C-44572)",Constituent / University College,Maharashtra
20728,"Post Graduate Institute, Rahuri (Id: C-44570)",Constituent / University College,Maharashtra
20729,AADINATH INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT BARWANI (Id: C-31499),Recognized Center,Madhya Pradesh
20730,AASS INFORMATION TECHNOLOGY RAIGARH (Id: C-31488),Recognized Center,Chhatisgarh
20731,ABACUS INSTITUTE OF TECHNOLOGY & MANAGEMENT PANDHURNA (Id: C-31192),Recognized Center,Madhya Pradesh
20732,"ABLAZE INSTITUTE, BHILAI (Id: C-31447)",Recognized Center,Chhatisgarh
20733,ACADEMY OF COMPUTER SCIENCE & APPLICATION JODHPUR (Id: C-31453),Recognized Center,Rajasthan
20734,ACADEMY OF COMPUTER SCIENCE & TECHNOLOGY JABALPUR (Id: C-31508),Recognized Center,Madhya Pradesh
20735,ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION HOSHANGABAD (Id: C-31496),Recognized Center,Madhya Pradesh
20736,"ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION, HOSHANGABAD (Id: C-31213)",Recognized Center,Madhya Pradesh
20737,ACMEVISION INSTITUTE OF COMPUTER SCIENCE SHAJAPUR (Id: C-31225),Recognized Center,Madhya Pradesh
20738,ACTI COMPUTER RAHLI (Id: C-31217),Recognized Center,Madhya Pradesh
20739,"ADITI COMPUTER INSTITUTE & ENGINEERING TECHNOLOGY , SATNA (Id: C-31163)",Recognized Center,Madhya Pradesh
20740,ADITYA INSTITUTE OF SCIENCE AND TECHNOLOGY BHOPAL (Id: C-31393),Recognized Center,Madhya Pradesh
20741,ADVANCE COMPUTER ENGINEERING BHOPAL (Id: C-31136),Recognized Center,Madhya Pradesh
20742,ADVANCE COURSES OF COMPUTER APPLICATION JABALPUR (Id: C-31411),Recognized Center,Madhya Pradesh
20743,ADVANCE INSTITUTE OF TECHNICAL STUDIES UJJAIN (Id: C-31535),Recognized Center,Madhya Pradesh
20744,AGGARWAL INSTITUTE OF COMPUTERS HANUMANGARH JN (Id: C-31128),Recognized Center,Rajasthan
20745,AGOSHDEEP INSTITUTE OF INFORMATION TECHNOLOGY NAGDA (Id: C-31490),Recognized Center,Madhya Pradesh
20746,AISECT COMPUTER CENTRE PILANI (Id: C-31391),Recognized Center,Rajasthan
20747,AISECT COMPUTER EDUCATION CENTRE BALLARPUR (Id: C-31563),Recognized Center,Maharashtra
20748,AISECT COMPUTER EDUCATION CENTRE FATEHPUR SHEKHAWATI (Id: C-31132),Recognized Center,Rajasthan
20749,"AISECT COMPUTER EDUCATION CENTRE, HOSHANGABAD (Id: C-31075)",Recognized Center,Madhya Pradesh
20750,"AISECT COMPUTERS, HAZARIBAGH (Id: C-31517)",Recognized Center,Jharkhand
20751,AISECT SUPELA (BHILAI) BHILAI SUPELA (Id: C-31299),Recognized Center,Chhatisgarh
20752,AISHWARYA COLLEGE OF EDUCATION (ACE) JODHPUR (Id: C-31296),Recognized Center,Rajasthan
20753,AISHWARYA COLLEGE OF EDUCATION UDAIPUR (Id: C-31205),Recognized Center,Rajasthan
20754,AITM INSTITUTE OF PROFESSIONAL STUDIES AMBAH (Id: C-31319),Recognized Center,Madhya Pradesh
20755,"AJMERA INSTITUTE OF MEDIA STUDIES, BAREILLY (Id: C-31228)",Recognized Center,Uttar Pradesh
20756,ALIVE INFOTECH COMPUTER EDUCATION SHIKOHABAD (Id: C-31214),Recognized Center,Uttar Pradesh
20757,ALL TECH COMPUTER EDUCATION GANJBASODA (Id: C-31402),Recognized Center,Madhya Pradesh
20758,ALMA COMPUTER EDUCATION CENTRE GADARWARA (Id: C-31218),Recognized Center,Madhya Pradesh
20759,AMBIKA COMPUTER & MANAGMENT EDUCATION SHIVPURI (Id: C-31187),Recognized Center,Madhya Pradesh
20760,ANGAHAL INSTITUTE OF TRAINING FOR ELECTRONIC & COMPUTER TECHNOLOGY (AITECT) IMPHAL (Id: C-31247),Recognized Center,Manipur
20761,"ANIMATION ACADEMY, INDORE (Id: C-31576)",Recognized Center,Madhya Pradesh
20762,"ANIMATION ACADEMY, PATNA (Id: C-31169)",Recognized Center,Bihar
20763,ANJALI COMPUTER TRUST ALWAR (Id: C-31386),Recognized Center,Rajasthan
20764,"APEX INSTITUTE OF TECHNOLOGY & MANAGEMENT, MORENA (Id: C-31519)",Recognized Center,Madhya Pradesh
20765,"A.P.N.P.G. COLLEGE, BASTI (Id: C-31441)",Recognized Center,Uttar Pradesh
20766,ARC NET COMPUTER EDUCATION CENTRE BHOPAL (Id: C-31330),Recognized Center,Madhya Pradesh
20767,ARIHANT COMPUTERS BALAGHAT (Id: C-31465),Recognized Center,Madhya Pradesh
20768,ARORVANSH INSTITUTE OF COMPUTER (AIC) SRI GANGA NAGAR (Id: C-31471),Recognized Center,Rajasthan
20769,ARYAN INSTITUTE OF PROFESSIONAL STUDIES & RESEARCH GWALIOR (Id: C-31142),Recognized Center,Madhya Pradesh
20770,ARYAN INTERNATIONAL COLLEGE AJMER (Id: C-31337),Recognized Center,Rajasthan
20771,ASHA INSTITUTE OF TECHNOLOGY AND SCIENCE (AITS) GWALIOR (Id: C-31445),Recognized Center,Madhya Pradesh
20772,"ASIAN INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY , PATNA (Id: C-31164)",Recognized Center,Bihar
20773,ASSAM INSTITUTE OF TECHNOLOGY GUWAHATI (Id: C-31085),Recognized Center,Assam
20774,AYUSHI INSTITUTE OF MEDIA & SCIENCE BHIND (Id: C-31505),Recognized Center,Madhya Pradesh
20775,AYUSHI INSTITUTE OF MEDIA & SCIENCE DABRA (Id: C-31316),Recognized Center,Madhya Pradesh
20776,BADRI NARAYAN SAHA DAV PUBLIC SCHOOL GIRIDIH (Id: C-31486),Recognized Center,Jharkhand
20777,BALMIK ELECTRONIC SOFTWARE TECHNOLOGY (BEST) JHABUA (Id: C-31449),Recognized Center,Madhya Pradesh
20778,BANARAS INSTITUTE OF TECHNOLOGY & MANAGEMENT VARANASI (Id: C-31117),Recognized Center,Uttar Pradesh
20779,BARHI COMPUTER SCIENCE AND JOURNALISM INSTITUTE BARHI (Id: C-31264),Recognized Center,Madhya Pradesh
20780,"BDPS COMPUTER EDUCATION SOCIETY, MANGALORE (Id: C-31388)",Recognized Center,Karnataka
20781,"BDPS COMPUTER EDUCATION SOCIETY, SHILLONG (Id: C-31430)",Recognized Center,Meghalaya
20782,"BDPS COMPUTER EDUCATION SOCIETY, SILCHAR (Id: C-31245)",Recognized Center,Assam
20783,"BDPS COMPUTER EDUCATION SOCIETY, TEJPUR (Id: C-31221)",Recognized Center,Assam
20784,BEST GWALIOR (Id: C-31283),Recognized Center,Madhya Pradesh
20785,BHAGWAN KALA KENDRA BHOPAL (Id: C-31581),Recognized Center,Madhya Pradesh
20786,BHARAT COMPUTER & MANAGMENT TECHNOLOGY BHATINDA (Id: C-31403),Recognized Center,Punjab
20787,BHARAT INSTITUTE OF TECHNOLOGY AND SCIENCE DATIA (Id: C-31489),Recognized Center,Madhya Pradesh
20788,BHARAT MATA INSTITUTE OF INFORMATION TECHNOLOGY VARANASI (Id: C-31093),Recognized Center,Uttar Pradesh
20789,BHARDWAJ COMPUTER TRAINING INSTITUTE CHHABRAGUGOR (Id: C-31088),Recognized Center,Rajasthan
20790,"BHARTIYA BHASHA PARISHAD, KOLKATA (Id: C-31498)",Recognized Center,West Bengal
20791,BHARTIYA INSTITUTE OF PROFESSIONAL STUDIES UJJAIN (Id: C-31112),Recognized Center,Madhya Pradesh
20792,"BHARTIYA MEDIA SANSTHAN, NEW DELHI (Id: C-31261)",Recognized Center,Delhi
20793,BHARTIYA VIDYA MANDIR INSTITUTE OF INFORMATION AND TECHNOLOGY GWALIOR (Id: C-31534),Recognized Center,Madhya Pradesh
20794,BHAWANA INSTITUTE OF INFORMATION TECHNOLOGY (BIIT) COMPUTER EDUCATION CENTRE RAJGARH (Id: C-31458),Recognized Center,Rajasthan
20795,"BHAWANA INSTITUTE OF INFORMATION TECHNOLOGY, JAIPUR (Id: C-31089)",Recognized Center,Rajasthan
20796,BHOPAL INSTITUTE OF PROFESSIONAL STUDIES BHOPAL (Id: C-31148),Recognized Center,Madhya Pradesh
20797,"BIHAR INSTITUTE OF JOURNALISM & MASS COMMUNICATION , PATNA (Id: C-31504)",Recognized Center,Bihar
20798,BIIT (BRILLIANT INSTITUTE OF INFORMATION TECHNOLOGY) SHEOPUR (Id: C-31421),Recognized Center,Madhya Pradesh
20799,"BIMB TELEVISION FILM ACADEMY, BHOPAL (Id: C-31521)",Recognized Center,Madhya Pradesh
20800,BIRGUNJ INSTITUTE OF INFORMATION TECHNOLOGY BIRGUNJ (Id: C-31574),Recognized Center,Nagaland
20801,BLEW COMPUTER CENTRE BHOPAL (Id: C-31114),Recognized Center,Madhya Pradesh
20802,BRAIN COMPUTERS CHHATARPUR (Id: C-31237),Recognized Center,Madhya Pradesh
